id,sex,nationality,education,club,type
Ballon D'Or2025,NA,NA,NA,NA,2
Ousmane Dembélé,1,FR,sr1,psg,1
Paris Saint-Germain,NA,NA,NA,NA,3
Stade Rennes,NA,NA,NA,NA,4
Lamine Yamal,1,ES,fcba1,fcba,1
FC Barcelona,NA,NA,NA,NA,3
FC Barcelona,NA,NA,NA,NA,4
Vitinha,1,PT,fcp1,psg,1
Paris Saint-Germain,NA,NA,NA,NA,3
FC Porto,NA,NA,NA,NA,4
Mohamed Salah,1,EGY,fcbs1,fcl,1
FC Liverpool,NA,NA,NA,NA,3
FC Basel,NA,NA,NA,NA,4
Raphinha,1,BRA,vgsc1,fcba,1
FC Barcelona,NA,NA,NA,NA,3
Vitória Guimarães SC,NA,NA,NA,NA,4
Aitana Bonmatí,2,ES,fcba1,fcba,1
FC Barcelona,NA,NA,NA,NA,3
FC Barcelona,NA,NA,NA,NA,4
Mariona Caldentey,2,ES,fcba1,fca,1
FC Arsenal,NA,NA,NA,NA,3
FC Barcelona,NA,NA,NA,NA,4
Alessia Russo,2,GB,fcc1,fca,1
FC Arsenal,NA,NA,NA,NA,3
FC Chelsea,NA,NA,NA,NA,4
Alexia Putellas,2,ES,esba1,fcba,1
FC Barcelona,NA,NA,NA,NA,3
Espanyol Barcelona,NA,NA,NA,NA,4
Chloe Kelly ,2,GB,fca1,fca,1
FC Arsenal,NA,NA,NA,NA,3
FC Arsenal,NA,NA,NA,NA,4